experiment,description,algorithms,run,seed,average_delay_mean,average_delay_std,average_delay_min,average_delay_max,average_delay_final,throughput_mean,throughput_std,throughput_min,throughput_max,throughput_final,average_queue_length_mean,average_queue_length_std,average_queue_length_min,average_queue_length_max,average_queue_length_final,average_speed_mean,average_speed_std,average_speed_min,average_speed_max,average_speed_final,total_vehicles_mean,total_vehicles_std,total_vehicles_min,total_vehicles_max,total_vehicles_final
baseline_ca_only,No adaptive control (fixed signals),cellular_automata,0,0,35.82357998438143,9.362220646129757,0.0,71.36363636363637,35.35511916567423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0592619196929265,0.7961241614296085,0.0,3.823529411764706,1.094373586882447,17.425185185185185,4.382156048382248,0.0,33.0,16.15
baseline_ca_only,No adaptive control (fixed signals),cellular_automata,1,1,35.90417088353739,8.439430928678707,0.0,62.6125,35.65070095444569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0136912437823709,0.789678809843023,0.0,4.0,0.9587182474406342,17.839814814814815,4.068452244946492,0.0,32.0,16.372222222222224
baseline_ca_only,No adaptive control (fixed signals),cellular_automata,2,2,35.44701998873731,8.71556705519132,0.0,63.376470588235286,36.37724949404648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0407988145913785,0.8242074534923046,0.0,5.0,1.0311813874465288,16.78648148148148,4.283448185839088,0.0,30.0,18.538888888888888
baseline_ca_only,No adaptive control (fixed signals),cellular_automata,3,3,36.92780884735535,8.782757151715712,0.0,78.78181818181818,38.46138201518462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0229608289247485,0.7940664708384697,0.0,3.7857142857142856,0.9893705771744352,17.227592592592593,3.844796596837893,0.0,30.0,15.896296296296295
baseline_ca_only,No adaptive control (fixed signals),cellular_automata,4,4,36.29494426669508,8.542686492126181,0.0,68.25714285714287,38.78473730817984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0382100671082053,0.795292450730107,0.0,3.7857142857142856,1.0157655353691608,17.47962962962963,3.8437963308682415,0.0,33.0,18.73703703703704
baseline_ca_only,No adaptive control (fixed signals),cellular_automata,5,5,34.18329642425339,8.647689442641038,0.0,67.16,34.84665315220874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0739532570150112,0.7998868598387372,0.0,3.8,1.043515893508017,17.08074074074074,4.330742752073423,0.0,31.0,17.822222222222223
baseline_ca_only,No adaptive control (fixed signals),cellular_automata,6,6,35.9223353666765,8.36397671472366,0.0,70.02857142857144,36.26726251135307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0390865181503337,0.7930807294781135,0.0,4.5,1.0108181853700298,16.94611111111111,4.0194277815826,0.0,29.0,17.97222222222222
baseline_ca_only,No adaptive control (fixed signals),cellular_automata,7,7,35.977772380035105,8.979482325059065,0.0,69.85000000000001,37.84094425854941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0410018226037516,0.7969639788126313,0.0,4.0,0.985400130781286,17.330925925925925,4.399445153786975,1.0,34.0,19.34629629629629
baseline_ca_only,No adaptive control (fixed signals),cellular_automata,8,8,35.95143440996102,8.686611869361654,0.0,64.26666666666667,37.803982711382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.038220323774171,0.8061129262282533,0.0,4.5,1.0413347428991078,16.592222222222222,4.364335114041349,0.0,31.0,16.605555555555554
baseline_ca_only,No adaptive control (fixed signals),cellular_automata,9,9,35.614449086831314,8.652399599233823,0.0,67.7764705882353,36.77055211756836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.042173778667149,0.7990676216293428,0.0,3.6666666666666665,1.0346247441297696,16.631851851851852,3.8990056064069543,0.0,30.0,17.58888888888889
baseline_ca_only,No adaptive control (fixed signals),cellular_automata,10,10,36.795211634911055,9.238281941730127,0.0,66.4,36.11834088202696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0150794151002036,0.7980243694377549,0.0,3.7142857142857135,1.0057425833194518,17.174074074074074,4.097207051656367,0.0,30.0,17.348148148148148
baseline_ca_only,No adaptive control (fixed signals),cellular_automata,11,11,35.832641162081345,8.7170922735704,0.0,67.88,33.647295023045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0438411086660653,0.8085420411609723,0.0,4.111111111111111,1.0754366302065614,16.63074074074074,4.132161505866199,0.0,30.0,15.116666666666667
baseline_ca_only,No adaptive control (fixed signals),cellular_automata,12,12,36.64725971717838,9.207885830672234,0.0,66.54666666666667,35.79081786268216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0323365765111665,0.7970714605904823,0.0,3.5625,1.0396557420255603,17.849444444444444,3.963458047129807,0.0,30.0,19.048148148148147
baseline_ca_only,No adaptive control (fixed signals),cellular_automata,13,13,35.76538144232873,8.872264725883166,0.0,69.87999999999998,36.00301863584218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.045536415885773,0.8018388127051814,0.0,5.0,1.046011909309366,16.970185185185183,3.880678630390968,0.0,28.0,16.696296296296296
baseline_ca_only,No adaptive control (fixed signals),cellular_automata,14,14,35.25964210554631,8.853132719867785,0.0,67.33333333333333,36.866660944247634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.049242453224751,0.7822674316342201,0.0,3.764705882352941,1.0394678831324995,17.058518518518518,3.554848232113541,0.0,28.0,18.69074074074074
baseline_ca_only,No adaptive control (fixed signals),cellular_automata,15,15,35.6510931356558,8.851260632765785,0.0,62.8875,36.98595416222207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0439318382084768,0.8014169807444883,0.0,3.764705882352941,1.0131187475797845,16.676111111111112,4.352575192052303,3.0,31.0,16.927777777777777
