experiment_a,experiment_b,metric,mean_a,mean_b,difference,pct_change,t_statistic,p_value,cohens_d,significant
baseline_ca_only,add_sotl,average_delay,36.59778795158838,25.82818913362321,-10.769598817965171,-29.42691190027992,28.977970428615578,3.173438941293906e-27,-9.163638852343094,True
baseline_ca_only,add_sotl,throughput,0.0,0.0,0.0,0.0,,,0.0,False
baseline_ca_only,add_sotl,average_queue_length,0.0,0.23146219135802465,0.23146219135802465,0.0,-59.30923715632732,4.9490191873468973e-23,18.755227570108225,True
baseline_ca_only,add_sotl,average_speed,1.024265952988179,1.1910129574354464,0.16674700444726742,16.279659004656168,-11.372806611400112,1.8959956671790803e-12,3.5963972280645815,True
baseline_ca_only,add_aco,average_delay,36.59778795158838,25.67156616873269,-10.926221782855691,-29.85486936344054,9.979333382170896,1.4920953643166981e-09,-3.1557423017811574,True
baseline_ca_only,add_aco,throughput,0.0,0.0,0.0,0.0,,,0.0,False
baseline_ca_only,add_aco,average_queue_length,0.0,0.0,0.0,0.0,,,0.0,False
baseline_ca_only,add_aco,average_speed,1.024265952988179,0.8842156911291053,-0.14005026185907377,-13.673232176710853,9.819619774776232,5.077457581022974e-11,-3.1052364245122535,True
baseline_ca_only,add_pso,average_delay,36.59778795158838,36.05755806088849,-0.5402298906998908,-1.4761271676159986,0.9801658550744513,0.3346648856380589,-0.30995565867617747,False
baseline_ca_only,add_pso,throughput,0.0,0.0,0.0,0.0,,,0.0,False
baseline_ca_only,add_pso,average_queue_length,0.0,0.0,0.0,0.0,,,0.0,False
baseline_ca_only,add_pso,average_speed,1.024265952988179,1.041964852412697,0.017698899424517966,1.7279593618125688,-1.3174413061265142,0.19690907556655884,0.41661152109469274,False
baseline_ca_only,add_som,average_delay,36.59778795158838,36.59778795158838,0.0,0.0,0.0,1.0,0.0,False
baseline_ca_only,add_som,throughput,0.0,0.0,0.0,0.0,,,0.0,False
baseline_ca_only,add_som,average_queue_length,0.0,0.0,0.0,0.0,,,0.0,False
baseline_ca_only,add_som,average_speed,1.024265952988179,1.024265952988179,0.0,0.0,0.0,1.0,0.0,False
baseline_ca_only,sotl_aco,average_delay,36.59778795158838,18.193053680280883,-18.404734271307497,-50.289198614007255,34.97743314387736,5.2191750098105446e-27,-11.060835544091642,True
baseline_ca_only,sotl_aco,throughput,0.0,0.0,0.0,0.0,,,0.0,False
baseline_ca_only,sotl_aco,average_queue_length,0.0,0.16968749999999994,0.16968749999999994,0.0,-37.135343933752644,3.351812958991495e-19,11.743226852437532,True
baseline_ca_only,sotl_aco,average_speed,1.024265952988179,1.276991810459727,0.2527258574715481,24.673851233095196,-7.33941140975269,3.4038196741597494e-07,2.320925673984584,True
baseline_ca_only,sotl_pso,average_delay,36.59778795158838,29.611387167627704,-6.986400783960676,-19.08968048342785,18.485039818147804,1.7063462682209504e-20,-5.845482846425176,True
baseline_ca_only,sotl_pso,throughput,0.0,0.0,0.0,0.0,,,0.0,False
baseline_ca_only,sotl_pso,average_queue_length,0.0,0.26160108024691353,0.26160108024691353,0.0,-66.91321375580678,5.0541207004636984e-24,21.159816103005923,True
baseline_ca_only,sotl_pso,average_speed,1.024265952988179,1.0046534733440635,-0.0196124796441155,-1.9147839081147164,1.5842220287561781,0.12221325533263518,-0.5009749930282289,False
baseline_ca_only,sotl_som,average_delay,36.59778795158838,26.955754384064527,-9.642033567523853,-26.34594631860907,21.26799870236658,6.224542525869388e-22,-6.725531717298392,True
baseline_ca_only,sotl_som,throughput,0.0,0.0,0.0,0.0,,,0.0,False
baseline_ca_only,sotl_som,average_queue_length,0.0,0.24941743827160487,0.24941743827160487,0.0,-41.75677877904321,3.703491579929899e-20,13.204652869356138,True
baseline_ca_only,sotl_som,average_speed,1.024265952988179,1.1406970018070426,0.11643104881886357,11.367267307791426,-6.814170853320197,2.534831007804339e-07,2.1548300262024953,True
baseline_ca_only,full_stack,average_delay,36.59778795158838,20.47678529594756,-16.12100265564082,-44.04911760504681,29.511791490307466,3.2316879371439024e-24,-9.332447894134656,True
baseline_ca_only,full_stack,throughput,0.0,0.0,0.0,0.0,,,0.0,False
baseline_ca_only,full_stack,average_queue_length,0.0,0.18720100308641968,0.18720100308641968,0.0,-41.62209614466258,3.9354515959909544e-20,13.162062480764689,True
baseline_ca_only,full_stack,average_speed,1.024265952988179,1.2177033112964069,0.19343735830822784,18.88546209545445,-4.966608591850124,7.04903718215259e-05,1.570579539680798,True
baseline_ca_only,full_minus_sotl,average_delay,36.59778795158838,26.700215643357346,-9.897572308231034,-27.044181799521766,9.219951801836173,5.770575685710488e-09,-2.9156047610775717,True
baseline_ca_only,full_minus_sotl,throughput,0.0,0.0,0.0,0.0,,,0.0,False
baseline_ca_only,full_minus_sotl,average_queue_length,0.0,0.0,0.0,0.0,,,0.0,False
baseline_ca_only,full_minus_sotl,average_speed,1.024265952988179,0.8635247907057957,-0.16074116228238333,-15.693303268886302,10.954707870479147,4.785828748145736e-12,-3.4641827972486925,True
baseline_ca_only,full_minus_aco,average_delay,36.59778795158838,28.00056627538214,-8.597221676206239,-23.491096477138615,16.555941719280515,2.5372916216795065e-17,-5.235448464193044,True
baseline_ca_only,full_minus_aco,throughput,0.0,0.0,0.0,0.0,,,0.0,False
baseline_ca_only,full_minus_aco,average_queue_length,0.0,0.2527739197530864,0.2527739197530864,0.0,-50.428443282665896,1.0590734108187237e-21,15.946873962984254,True
baseline_ca_only,full_minus_aco,average_speed,1.024265952988179,1.0777558056682488,0.05348985268006978,5.222262101363347,-3.447243614817075,0.0017538107389870232,1.0901141472294127,True
