experiment_a,experiment_b,metric,mean_a,mean_b,difference,pct_change,t_statistic,p_value,cohens_d,significant
baseline_ca_only,add_sotl,average_delay,36.59778795158838,25.82818913362321,-10.769598817965171,-29.42691190027992,28.977970428615578,3.173438941293842e-27,-9.163638852343094,True
baseline_ca_only,add_sotl,throughput,0.0,0.0,0.0,0.0,,,0.0,False
baseline_ca_only,add_sotl,average_queue_length,0.0,0.23146219135802465,0.23146219135802465,0.0,-59.30923715632732,4.9490191873468973e-23,18.755227570108225,True
baseline_ca_only,add_sotl,average_speed,1.024265952988179,1.1910129574354464,0.16674700444726742,16.279659004656168,-11.372806611400112,1.8959956671790803e-12,3.5963972280645815,True
baseline_ca_only,add_aco,average_delay,36.59778795158838,36.59778795158838,0.0,0.0,0.0,1.0,0.0,False
baseline_ca_only,add_aco,throughput,0.0,0.0,0.0,0.0,,,0.0,False
baseline_ca_only,add_aco,average_queue_length,0.0,0.0,0.0,0.0,,,0.0,False
baseline_ca_only,add_aco,average_speed,1.024265952988179,1.024265952988179,0.0,0.0,0.0,1.0,0.0,False
baseline_ca_only,add_pso,average_delay,36.59778795158838,36.05755806088849,-0.5402298906998908,-1.4761271676159986,0.9801658550744513,0.3346648856380589,-0.30995565867617747,False
baseline_ca_only,add_pso,throughput,0.0,0.0,0.0,0.0,,,0.0,False
baseline_ca_only,add_pso,average_queue_length,0.0,0.0,0.0,0.0,,,0.0,False
baseline_ca_only,add_pso,average_speed,1.024265952988179,1.041964852412697,0.017698899424517966,1.7279593618125688,-1.3174413061265142,0.19690907556655884,0.41661152109469274,False
baseline_ca_only,add_som,average_delay,36.59778795158838,36.59778795158838,0.0,0.0,0.0,1.0,0.0,False
baseline_ca_only,add_som,throughput,0.0,0.0,0.0,0.0,,,0.0,False
baseline_ca_only,add_som,average_queue_length,0.0,0.0,0.0,0.0,,,0.0,False
baseline_ca_only,add_som,average_speed,1.024265952988179,1.024265952988179,0.0,0.0,0.0,1.0,0.0,False
baseline_ca_only,sotl_aco,average_delay,36.59778795158838,25.82818913362321,-10.769598817965171,-29.42691190027992,28.977970428615578,3.173438941293842e-27,-9.163638852343094,True
baseline_ca_only,sotl_aco,throughput,0.0,0.0,0.0,0.0,,,0.0,False
baseline_ca_only,sotl_aco,average_queue_length,0.0,0.23146219135802465,0.23146219135802465,0.0,-59.30923715632732,4.9490191873468973e-23,18.755227570108225,True
baseline_ca_only,sotl_aco,average_speed,1.024265952988179,1.1910129574354464,0.16674700444726742,16.279659004656168,-11.372806611400112,1.8959956671790803e-12,3.5963972280645815,True
baseline_ca_only,sotl_pso,average_delay,36.59778795158838,25.940148870212063,-10.657639081376317,-29.120992491333798,21.332217461987366,5.466327752076388e-21,-6.745839472189646,True
baseline_ca_only,sotl_pso,throughput,0.0,0.0,0.0,0.0,,,0.0,False
baseline_ca_only,sotl_pso,average_queue_length,0.0,0.24365933641975307,0.24365933641975307,0.0,-60.20465392761684,3.7281696485693566e-23,19.038383215347118,True
baseline_ca_only,sotl_pso,average_speed,1.024265952988179,1.1639336640006983,0.1396677110125193,13.63588339581675,-10.43883817291178,6.329786004857862e-12,3.301050475231182,True
baseline_ca_only,sotl_som,average_delay,36.59778795158838,27.25434557231579,-9.343442379272592,-25.53007408981142,20.049264245117612,7.82399931175571e-21,-6.3401340425148085,True
baseline_ca_only,sotl_som,throughput,0.0,0.0,0.0,0.0,,,0.0,False
baseline_ca_only,sotl_som,average_queue_length,0.0,0.2423128858024691,0.2423128858024691,0.0,-44.80912017198194,9.818390826538824e-21,14.169887969165876,True
baseline_ca_only,sotl_som,average_speed,1.024265952988179,1.113000742074698,0.08873478908651888,8.66325672816179,-4.897220890809644,4.382612065565384e-05,1.5486372219917226,True
baseline_ca_only,full_stack,average_delay,36.59778795158838,27.019254101673216,-9.578533849915164,-26.172439335911957,18.117430797479663,2.6306918059635806e-18,-5.729234667051652,True
baseline_ca_only,full_stack,throughput,0.0,0.0,0.0,0.0,,,0.0,False
baseline_ca_only,full_stack,average_queue_length,0.0,0.24784143518518514,0.24784143518518514,0.0,-49.3543989326935,1.589601821793436e-21,15.607231317589477,True
baseline_ca_only,full_stack,average_speed,1.024265952988179,1.1441114214093298,0.11984546842115074,11.700620143773719,-7.876808713312955,1.0001217684979126e-08,2.4908656227529193,True
baseline_ca_only,full_minus_sotl,average_delay,36.59778795158838,36.05755806088849,-0.5402298906998908,-1.4761271676159986,0.9801658550744513,0.3346648856380589,-0.30995565867617747,False
baseline_ca_only,full_minus_sotl,throughput,0.0,0.0,0.0,0.0,,,0.0,False
baseline_ca_only,full_minus_sotl,average_queue_length,0.0,0.0,0.0,0.0,,,0.0,False
baseline_ca_only,full_minus_sotl,average_speed,1.024265952988179,1.041964852412697,0.017698899424517966,1.7279593618125688,-1.3174413061265142,0.19690907556655884,0.41661152109469274,False
baseline_ca_only,full_minus_aco,average_delay,36.59778795158838,26.49112299253769,-10.10666495905069,-27.6155077252751,22.72295391394139,4.466374828468066e-23,-7.185628953509249,True
baseline_ca_only,full_minus_aco,throughput,0.0,0.0,0.0,0.0,,,0.0,False
baseline_ca_only,full_minus_aco,average_queue_length,0.0,0.24317129629629633,0.24317129629629633,0.0,-55.6481037532274,1.6497511881253233e-22,17.597475532956317,True
baseline_ca_only,full_minus_aco,average_speed,1.024265952988179,1.1364387736035046,0.11217282061532563,10.951532684267619,-7.918951628114791,5.996976418653661e-09,2.504192382554142,True
