experiment,n_runs,average_delay_mean_mean,average_delay_mean_std,average_delay_mean_ci95,average_delay_mean_min,average_delay_mean_max,average_delay_std_mean,average_delay_std_std,average_delay_std_ci95,average_delay_std_min,average_delay_std_max,average_delay_min_mean,average_delay_min_std,average_delay_min_ci95,average_delay_min_min,average_delay_min_max,average_delay_max_mean,average_delay_max_std,average_delay_max_ci95,average_delay_max_min,average_delay_max_max,average_delay_final_mean,average_delay_final_std,average_delay_final_ci95,average_delay_final_min,average_delay_final_max,throughput_mean_mean,throughput_mean_std,throughput_mean_ci95,throughput_mean_min,throughput_mean_max,throughput_std_mean,throughput_std_std,throughput_std_ci95,throughput_std_min,throughput_std_max,throughput_min_mean,throughput_min_std,throughput_min_ci95,throughput_min_min,throughput_min_max,throughput_max_mean,throughput_max_std,throughput_max_ci95,throughput_max_min,throughput_max_max,throughput_final_mean,throughput_final_std,throughput_final_ci95,throughput_final_min,throughput_final_max,average_queue_length_mean_mean,average_queue_length_mean_std,average_queue_length_mean_ci95,average_queue_length_mean_min,average_queue_length_mean_max,average_queue_length_std_mean,average_queue_length_std_std,average_queue_length_std_ci95,average_queue_length_std_min,average_queue_length_std_max,average_queue_length_min_mean,average_queue_length_min_std,average_queue_length_min_ci95,average_queue_length_min_min,average_queue_length_min_max,average_queue_length_max_mean,average_queue_length_max_std,average_queue_length_max_ci95,average_queue_length_max_min,average_queue_length_max_max,average_queue_length_final_mean,average_queue_length_final_std,average_queue_length_final_ci95,average_queue_length_final_min,average_queue_length_final_max,average_speed_mean_mean,average_speed_mean_std,average_speed_mean_ci95,average_speed_mean_min,average_speed_mean_max,average_speed_std_mean,average_speed_std_std,average_speed_std_ci95,average_speed_std_min,average_speed_std_max,average_speed_min_mean,average_speed_min_std,average_speed_min_ci95,average_speed_min_min,average_speed_min_max,average_speed_max_mean,average_speed_max_std,average_speed_max_ci95,average_speed_max_min,average_speed_max_max,average_speed_final_mean,average_speed_final_std,average_speed_final_ci95,average_speed_final_min,average_speed_final_max,total_vehicles_mean_mean,total_vehicles_mean_std,total_vehicles_mean_ci95,total_vehicles_mean_min,total_vehicles_mean_max,total_vehicles_std_mean,total_vehicles_std_std,total_vehicles_std_ci95,total_vehicles_std_min,total_vehicles_std_max,total_vehicles_min_mean,total_vehicles_min_std,total_vehicles_min_ci95,total_vehicles_min_min,total_vehicles_min_max,total_vehicles_max_mean,total_vehicles_max_std,total_vehicles_max_ci95,total_vehicles_max_min,total_vehicles_max_max,total_vehicles_final_mean,total_vehicles_final_std,total_vehicles_final_ci95,total_vehicles_final_min,total_vehicles_final_max
add_marl_enhanced,20,35.99711002953491,0.6391356895546352,0.29912471036869864,34.18329642425339,36.92780884735535,8.816042463838006,0.3366670665127399,0.15756503729509558,8.002798117921099,9.362220646129755,0.0,0.0,0.0,0.0,0.0,67.91755506748154,4.056436392733104,1.898470670525144,61.325,78.78181818181818,36.59778795158838,1.2477691306963452,0.5839739290519491,33.647295023045,38.78473730817984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0397065743261442,0.013813268249305654,0.006464808540417909,1.0136912437823709,1.0739532570150112,0.8000473023412615,0.008874357531262414,0.004153327172351922,0.7822674316342201,0.8242074534923046,0.0,0.0,0.0,0.0,0.0,4.011462687639158,0.42009610905346745,0.1966110311179764,3.5625,5.0,1.024265952988179,0.03256944573823213,0.015242969814604492,0.9587182474406342,1.0943735868824467,17.09722222222222,0.3672425921750803,0.17187482378893282,16.592222222222222,17.849444444444444,4.126000520914589,0.24264477908316504,0.11356125225350003,3.554848232113541,4.404742284780811,0.2,0.6958523739384592,0.32566893574469996,0.0,3.0,30.75,1.6503588126605426,0.7723917000872071,28.0,34.0,17.47425925925926,1.2668218188666562,0.592890861596681,15.116666666666667,19.346296296296295
add_marl_enhanced_rush,20,35.99711002953491,0.6391356895546352,0.29912471036869864,34.18329642425339,36.92780884735535,8.816042463838006,0.3366670665127399,0.15756503729509558,8.002798117921099,9.362220646129755,0.0,0.0,0.0,0.0,0.0,67.91755506748154,4.056436392733104,1.898470670525144,61.325,78.78181818181818,36.59778795158838,1.2477691306963452,0.5839739290519491,33.647295023045,38.78473730817984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0397065743261442,0.013813268249305654,0.006464808540417909,1.0136912437823709,1.0739532570150112,0.8000473023412615,0.008874357531262414,0.004153327172351922,0.7822674316342201,0.8242074534923046,0.0,0.0,0.0,0.0,0.0,4.011462687639158,0.42009610905346745,0.1966110311179764,3.5625,5.0,1.024265952988179,0.03256944573823213,0.015242969814604492,0.9587182474406342,1.0943735868824467,17.09722222222222,0.3672425921750803,0.17187482378893282,16.592222222222222,17.849444444444444,4.126000520914589,0.24264477908316504,0.11356125225350003,3.554848232113541,4.404742284780811,0.2,0.6958523739384592,0.32566893574469996,0.0,3.0,30.75,1.6503588126605426,0.7723917000872071,28.0,34.0,17.47425925925926,1.2668218188666562,0.592890861596681,15.116666666666667,19.346296296296295
add_pressure,20,35.99711002953491,0.6391356895546352,0.29912471036869864,34.18329642425339,36.92780884735535,8.816042463838006,0.3366670665127399,0.15756503729509558,8.002798117921099,9.362220646129755,0.0,0.0,0.0,0.0,0.0,67.91755506748154,4.056436392733104,1.898470670525144,61.325,78.78181818181818,36.59778795158838,1.2477691306963452,0.5839739290519491,33.647295023045,38.78473730817984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0397065743261442,0.013813268249305654,0.006464808540417909,1.0136912437823709,1.0739532570150112,0.8000473023412615,0.008874357531262414,0.004153327172351922,0.7822674316342201,0.8242074534923046,0.0,0.0,0.0,0.0,0.0,4.011462687639158,0.42009610905346745,0.1966110311179764,3.5625,5.0,1.024265952988179,0.03256944573823213,0.015242969814604492,0.9587182474406342,1.0943735868824467,17.09722222222222,0.3672425921750803,0.17187482378893282,16.592222222222222,17.849444444444444,4.126000520914589,0.24264477908316504,0.11356125225350003,3.554848232113541,4.404742284780811,0.2,0.6958523739384592,0.32566893574469996,0.0,3.0,30.75,1.6503588126605426,0.7723917000872071,28.0,34.0,17.47425925925926,1.2668218188666562,0.592890861596681,15.116666666666667,19.346296296296295
add_pressure_rush,20,35.99711002953491,0.6391356895546352,0.29912471036869864,34.18329642425339,36.92780884735535,8.816042463838006,0.3366670665127399,0.15756503729509558,8.002798117921099,9.362220646129755,0.0,0.0,0.0,0.0,0.0,67.91755506748154,4.056436392733104,1.898470670525144,61.325,78.78181818181818,36.59778795158838,1.2477691306963452,0.5839739290519491,33.647295023045,38.78473730817984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0397065743261442,0.013813268249305654,0.006464808540417909,1.0136912437823709,1.0739532570150112,0.8000473023412615,0.008874357531262414,0.004153327172351922,0.7822674316342201,0.8242074534923046,0.0,0.0,0.0,0.0,0.0,4.011462687639158,0.42009610905346745,0.1966110311179764,3.5625,5.0,1.024265952988179,0.03256944573823213,0.015242969814604492,0.9587182474406342,1.0943735868824467,17.09722222222222,0.3672425921750803,0.17187482378893282,16.592222222222222,17.849444444444444,4.126000520914589,0.24264477908316504,0.11356125225350003,3.554848232113541,4.404742284780811,0.2,0.6958523739384592,0.32566893574469996,0.0,3.0,30.75,1.6503588126605426,0.7723917000872071,28.0,34.0,17.47425925925926,1.2668218188666562,0.592890861596681,15.116666666666667,19.346296296296295
full_stack_v2,20,19.91397320376833,2.098099790453689,0.9819409280389411,17.23902597017033,24.436986650766276,5.7972289451774355,0.6482458822436556,0.3033884117924216,4.821145492692446,7.181926018749286,0.0,0.0,0.0,0.0,0.0,43.92296300629196,5.299914839915399,2.4804364978791287,36.25454545454546,57.166666666666664,19.779337587318643,2.396728235107684,1.1217033423037843,16.476546311712976,23.875045332670382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1797482638888889,0.015253854619488165,0.007139023715355503,0.15903549382716048,0.21266975308641978,0.05894362739481492,0.004550865143200106,0.0021298704486919003,0.049808871452900055,0.06593524690759177,0.0,0.0,0.0,0.0,0.0,0.41145833333333337,0.04159807951454304,0.019468500492207483,0.3541666666666667,0.4791666666666667,0.18046489197530863,0.02123550772426344,0.009938523542596773,0.13352623456790122,0.2180941358024691,1.1855463611675015,0.12624365124373305,0.05908384750111907,1.0216456426145,1.4642544792249788,0.6739598126687332,0.10789190794949725,0.05049496725649657,0.5348260803128084,1.0034313651222997,0.0,0.0,0.0,0.0,0.0,4.258239538239538,0.459031830340447,0.21483350960463357,3.4,5.0,1.1912309652850825,0.17438613832451122,0.08161522501580812,0.9300662998755009,1.6721939836017923,12.524685185185183,1.322941495599759,0.6191556787914019,10.933703703703705,15.770740740740742,3.8003432538043214,0.40578853576505375,0.18991488069808998,3.103572165293597,4.693045536326668,0.2,0.6958523739384592,0.32566893574469996,0.0,3.0,25.8,2.284962282309918,1.069395266247181,22.0,29.0,12.577314814814816,1.6845013794830581,0.7883709132322992,8.564814814814815,15.82037037037037
marl_enhanced_som,20,35.99711002953491,0.6391356895546352,0.29912471036869864,34.18329642425339,36.92780884735535,8.816042463838006,0.3366670665127399,0.15756503729509558,8.002798117921099,9.362220646129755,0.0,0.0,0.0,0.0,0.0,67.91755506748154,4.056436392733104,1.898470670525144,61.325,78.78181818181818,36.59778795158838,1.2477691306963452,0.5839739290519491,33.647295023045,38.78473730817984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0397065743261442,0.013813268249305654,0.006464808540417909,1.0136912437823709,1.0739532570150112,0.8000473023412615,0.008874357531262414,0.004153327172351922,0.7822674316342201,0.8242074534923046,0.0,0.0,0.0,0.0,0.0,4.011462687639158,0.42009610905346745,0.1966110311179764,3.5625,5.0,1.024265952988179,0.03256944573823213,0.015242969814604492,0.9587182474406342,1.0943735868824467,17.09722222222222,0.3672425921750803,0.17187482378893282,16.592222222222222,17.849444444444444,4.126000520914589,0.24264477908316504,0.11356125225350003,3.554848232113541,4.404742284780811,0.2,0.6958523739384592,0.32566893574469996,0.0,3.0,30.75,1.6503588126605426,0.7723917000872071,28.0,34.0,17.47425925925926,1.2668218188666562,0.592890861596681,15.116666666666667,19.346296296296295
pressure_aco,20,25.42740948872294,4.688092525917076,2.1940948407587424,20.553441097047706,37.33698212424063,6.518437269489857,0.6629358658583283,0.310263535754161,5.145565205967388,7.4305714500609525,0.0,0.0,0.0,0.0,0.0,48.49393413577046,5.446353859893471,2.5489720688908815,38.63076923076923,59.09000000000002,25.67156616873269,4.734821287050982,2.215964574163565,19.741409144552463,37.55278040904415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8972575853055093,0.039659327553358596,0.018561136643898288,0.8179870650271869,0.977830705688438,0.7033768542735006,0.019274677298032224,0.009020826654574052,0.6626604547131987,0.7412453062916932,0.0,0.0,0.0,0.0,0.0,3.9521031746031747,0.4305389160939342,0.20149841525637818,3.4285714285714284,5.0,0.8842156911291053,0.05484058121040648,0.02566618206291179,0.7801997281630987,0.9939969389754729,14.671916666666666,2.6164730164254744,1.224547065696105,12.239814814814816,22.61722222222222,4.117206015943181,0.42919614296480213,0.20086997808739085,3.4742560512632585,5.210846919386901,0.2,0.6958523739384592,0.32566893574469996,0.0,3.0,29.6,4.638511557998343,2.170890233488531,25.0,43.0,14.773981481481481,2.906347162374696,1.3602123420490113,11.612962962962962,22.742592592592594
